STATE,FEMALE,MALE,ELECTRICITY,CLEAN_WATER,SANITATION,LIT_F,LIT_M,BMI_F,BMI_M,AN_F,AN_M,BS_F,BS_M,BP_F,BP_M,HIV_KNOW_F,HIV_KNOW_M,PAID_F,LANDOWNER_F,BANKAC_F,MOBILE_F,TOB_F,TOB_M,ALC_F,ALC_M
Andaman,2397,367,97.6,96.3,88,86,92.5,9.4,4,57.5,16.1,8.1,7.3,25.3,30.2,14.9,34.7,24.6,15.8,89.2,80.8,31.3,58.7,5,39.1
Andhra Pradesh,10975,1558,99.5,96.7,77.3,68.6,79.5,14.8,16.5,58.8,16.2,10.4,11.4,25.3,29,24.6,38.6,42.1,47.8,81.8,48.9,3.8,22.6,0.5,23.3
Arunachal Pradesh,19765,2881,94.8,93.7,82.9,73.8,86.7,5.7,4.9,40.3,21.4,3.1,4.3,24.9,33.1,12.3,33.4,23.5,70.2,78.2,76.4,18.8,50.3,24.2,52.7
Assam,34979,4973,92.6,86,68.6,77.2,84.3,17.6,13.4,65.9,36,4.9,6.2,19.1,20.3,19.2,25.3,19,42.7,78.5,57.2,22.1,51.8,7.3,25.1
Bihar,42483,4897,96.3,99.2,49.4,57.8,78.5,25.6,21.5,63.5,29.5,5.4,7,15.9,18.4,10.3,25.2,12.6,55.3,76.7,51.4,5,48.8,0.4,15.5
Chandigarh,746,104,99.9,99.1,85,83,94.8,13,15.1,60.3,8.1,12,8.8,25,30.6,20.3,53.6,22,30.4,87.1,70,0.6,12.1,0.3,18.6
Chhattisgarh,28468,4174,98.8,95.5,76.8,74.6,87.3,23.1,17.4,60.8,27,3.8,4.4,23.6,27.7,23.1,30.7,39.1,45.6,80.3,40.7,17.3,43.1,5,34.8
"DNH, D&D",2713,427,99.7,95.4,65.8,77.3,93.4,25.1,18.3,62.5,24.6,5.9,7.7,14.9,15.4,25.3,28.1,31.5,55.8,83.6,60.5,2.9,38.6,1.1,27.8
Goa,2030,313,100,98.5,87.9,93,96.3,13.8,12.5,39,12,9.6,11.6,27.5,26.8,49,67.2,31.9,23.2,88.3,91.2,2.6,18.2,5.5,36.9
Gujarat,33343,5351,97.6,97.2,74,76.5,90.9,25.2,20.9,65,26.6,6.7,7.1,20.6,20.3,28.5,35.7,30.8,42.6,70,48.8,8.7,41.1,0.6,5.8
Haryana,21909,3224,99.6,98.6,85,81.7,93.5,15.1,14.5,60.4,18.9,5.7,6.2,21,25.1,19.7,36.4,18.8,39.3,73.6,50.4,2.5,29.1,0.3,16.1
Himachal Pradesh,10368,1477,99.5,96.2,81.8,91.7,94.9,13.9,11.8,53,18.6,6.4,6.7,22.2,24.4,36.2,40.8,20.2,23.1,83.1,79.5,1.7,32.3,0.6,31.9
Jammu & Kashmir,23037,3087,99.3,91.9,75.7,77.3,91.5,5.2,4.3,65.9,36.7,3.1,2.7,20,18.9,15.8,33.6,18.4,57.3,84.9,75.2,3.6,38.3,0.2,8.8
Jharkhand,26495,3414,94.3,86.6,56.7,65,84,26.2,17.1,65.3,29.6,4.2,6.4,17.8,22.6,13.8,31.2,18,64.2,79.6,49,8.4,47.4,6.1,35
Karnataka,30455,4516,99.1,95.3,74.8,76.7,88.5,17.2,14.3,47.8,19.6,6.8,7.6,25,26.9,24.5,26.6,37,67.6,88.7,61.8,8.5,27.1,0.9,16.5
Kerala,10969,1473,99.6,94.9,98.7,98.3,98.2,10.1,10,36.3,17.8,13.1,13.8,30.9,32.8,34.8,45.4,25.8,27.3,78.5,86.6,2.2,16.9,0.2,19.9
